Algorithm,nn,sim,bin,preposp,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,nb,nt,strat,val,h,t,thres,w,imp,shrink,norm,asymalpha,tvalpha,tvbeta,rweights,tr,k,CR
ItemKNNfairness,100,jaccard,False,interactions-users,0.14177105270035,0.1719045698197826,0.6709129511677282,0.0779193205944798,0.0953834770076869,0.2462475445056887,609.0,0.6029723991507431,0.0301486199575371,0.0738554813165056,6.997228149114719,0.6831072374440011,0.0678758576836208,0.985975229707608,0.9789575201565112,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,100,jaccard,False,interactions-users,0.14177105270035,0.1719045698197826,0.6709129511677282,0.0779193205944798,0.0953834770076869,0.2462475445056887,609.0,0.6029723991507431,0.0301486199575371,0.0738554813165056,6.997228149114719,0.6831072374440011,0.0678758576836208,0.985975229707608,0.9789575201565112,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,250,cosine,False,interactions-items,0.0911139134549371,0.1080812205851437,0.535031847133758,0.0566878980891719,0.064982452431163,0.1705230579834955,1068.0,6.035031847133758,0.3017515923566879,0.2859049046635047,8.844877350274013,0.5081502799366114,0.0495506548720385,0.7294576284016502,0.7424310967634451,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,250,cosine,False,interactions-items,0.0911139134549371,0.1080812205851437,0.535031847133758,0.0566878980891719,0.064982452431163,0.1705230579834955,1068.0,6.035031847133758,0.3017515923566879,0.2859049046635047,8.844877350274013,0.5081502799366114,0.0495506548720385,0.7294576284016502,0.7424310967634451,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,50,cosine,False,interactions-items,0.0571146125877712,0.0733816291395473,0.4235668789808917,0.0329617834394904,0.0371484208489493,0.1110959243720133,1094.0,11.733545647558389,0.5866772823779192,0.3762861403102278,9.354847282974864,0.3145224408809519,0.0297464292973252,0.3325850325164049,0.3463288208617596,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,50,cosine,False,interactions-items,0.0571146125877712,0.0733816291395473,0.4235668789808917,0.0329617834394904,0.0371484208489493,0.1110959243720133,1094.0,11.733545647558389,0.5866772823779192,0.3762861403102278,9.354847282974864,0.3145224408809519,0.0297464292973252,0.3325850325164049,0.3463288208617596,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,250,cosine,False,interactions-users,0.0911139134549371,0.1080812205851437,0.535031847133758,0.0566878980891719,0.064982452431163,0.1705230579834955,1068.0,6.035031847133758,0.3017515923566879,0.2859049046635047,8.844877350274013,0.5081502799366114,0.0495506548720385,0.7294576284016502,0.7424310967634451,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,250,cosine,False,interactions-users,0.0911139134549371,0.1080812205851437,0.535031847133758,0.0566878980891719,0.064982452431163,0.1705230579834955,1068.0,6.035031847133758,0.3017515923566879,0.2859049046635047,8.844877350274013,0.5081502799366114,0.0495506548720385,0.7294576284016502,0.7424310967634451,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,50,jaccard,False,interactions-items,0.0786085690908282,0.0985406865973172,0.5084925690021231,0.0479830148619957,0.0525073629269218,0.1428959239828676,1076.0,6.915074309978769,0.3457537154989384,0.332181288291824,9.123293623540343,0.4394865053903883,0.0424759015160605,0.5267120047366032,0.693811504989814,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,50,jaccard,False,interactions-items,0.0786085690908282,0.0985406865973172,0.5084925690021231,0.0479830148619957,0.0525073629269218,0.1428959239828676,1076.0,6.915074309978769,0.3457537154989384,0.332181288291824,9.123293623540343,0.4394865053903883,0.0424759015160605,0.5267120047366032,0.693811504989814,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,100,jaccard,False,interactions-items,0.0870378590101071,0.1083484835753324,0.5360934182590233,0.0532377919320594,0.0595779962648714,0.1581948482675149,1056.0,5.658174097664544,0.2829087048832271,0.2932229677651207,8.93464880765401,0.4844058503946155,0.0472911514034694,0.6296832242580964,0.7621935324435033,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,100,jaccard,False,interactions-items,0.0870378590101071,0.1083484835753324,0.5360934182590233,0.0532377919320594,0.0595779962648714,0.1581948482675149,1056.0,5.658174097664544,0.2829087048832271,0.2932229677651207,8.93464880765401,0.4844058503946155,0.0472911514034694,0.6296832242580964,0.7621935324435033,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,50,jaccard,False,interactions-users,0.0786085690908282,0.0985406865973172,0.5084925690021231,0.0479830148619957,0.0525073629269218,0.1428959239828676,1076.0,6.915074309978769,0.3457537154989384,0.332181288291824,9.123293623540343,0.4394865053903883,0.0424759015160605,0.5267120047366032,0.693811504989814,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,50,jaccard,False,interactions-users,0.0786085690908282,0.0985406865973172,0.5084925690021231,0.0479830148619957,0.0525073629269218,0.1428959239828676,1076.0,6.915074309978769,0.3457537154989384,0.332181288291824,9.123293623540343,0.4394865053903883,0.0424759015160605,0.5267120047366032,0.693811504989814,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,50,cosine,False,interactions-users,0.0571146125877712,0.0733816291395473,0.4235668789808917,0.0329617834394904,0.0371484208489493,0.1110959243720133,1094.0,11.733545647558389,0.5866772823779192,0.3762861403102278,9.354847282974864,0.3145224408809519,0.0297464292973252,0.3325850325164049,0.3463288208617596,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,50,cosine,False,interactions-users,0.0571146125877712,0.0733816291395473,0.4235668789808917,0.0329617834394904,0.0371484208489493,0.1110959243720133,1094.0,11.733545647558389,0.5866772823779192,0.3762861403102278,9.354847282974864,0.3145224408809519,0.0297464292973252,0.3325850325164049,0.3463288208617596,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,250,jaccard,False,interactions-users,0.094671419004766,0.1160583800937677,0.559447983014862,0.0585987261146496,0.0646447144104087,0.1726103838410586,1033.0,4.559447983014862,0.2279723991507431,0.2543212328410856,8.718845893014546,0.5245335503236722,0.0515454360472666,0.7405812737344644,0.8165203477226556,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,250,jaccard,False,interactions-users,0.094671419004766,0.1160583800937677,0.559447983014862,0.0585987261146496,0.0646447144104087,0.1726103838410586,1033.0,4.559447983014862,0.2279723991507431,0.2543212328410856,8.718845893014546,0.5245335503236722,0.0515454360472666,0.7405812737344644,0.8165203477226556,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,250,jaccard,False,interactions-items,0.094671419004766,0.1160583800937677,0.559447983014862,0.0585987261146496,0.0646447144104087,0.1726103838410586,1033.0,4.559447983014862,0.2279723991507431,0.2543212328410856,8.718845893014546,0.5245335503236722,0.0515454360472666,0.7405812737344644,0.8165203477226556,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
ItemKNNfairness,250,jaccard,False,interactions-items,0.094671419004766,0.1160583800937677,0.559447983014862,0.0585987261146496,0.0646447144104087,0.1726103838410586,1033.0,4.559447983014862,0.2279723991507431,0.2543212328410856,8.718845893014546,0.5245335503236722,0.0515454360472666,0.7405812737344644,0.8165203477226556,ItemKNNfairness,,,nan,,,,,,,,,,,,,,,1.0
